employee_id,month,department,working_days,absence_days,late_days
EMP-0001,2025-11-01,Finance,22,2,2
EMP-0001,2025-12-01,Finance,23,1,1
EMP-0002,2024-11-01,Operations,22,1,0
EMP-0002,2024-12-01,Operations,22,0,0
EMP-0002,2025-01-01,Operations,20,0,1
EMP-0002,2025-02-01,Operations,21,0,0
EMP-0003,2024-01-01,Operations,22,1,2
EMP-0003,2024-02-01,Operations,23,1,0
EMP-0003,2024-03-01,Operations,22,0,0
EMP-0003,2024-04-01,Operations,20,0,0
EMP-0003,2024-05-01,Operations,22,1,0
EMP-0003,2024-06-01,Operations,20,1,1
EMP-0003,2024-07-01,Operations,21,1,0
EMP-0003,2024-08-01,Operations,23,0,3
EMP-0003,2024-09-01,Operations,22,0,2
EMP-0003,2024-10-01,Operations,22,1,1
EMP-0003,2024-11-01,Operations,20,1,0
EMP-0003,2024-12-01,Operations,20,1,1
EMP-0003,2025-01-01,Operations,22,2,1
EMP-0003,2025-02-01,Operations,21,0,2
EMP-0003,2025-03-01,Operations,20,2,0
EMP-0003,2025-04-01,Operations,21,0,1
EMP-0003,2025-05-01,Operations,20,0,0
EMP-0003,2025-06-01,Operations,20,0,2
EMP-0003,2025-07-01,Operations,21,0,1
EMP-0003,2025-08-01,Operations,20,0,2
EMP-0003,2025-09-01,Operations,22,0,0
EMP-0003,2025-10-01,Operations,23,0,1
EMP-0003,2025-11-01,Operations,22,1,1
EMP-0003,2025-12-01,Operations,22,0,0
EMP-0004,2025-02-01,Sales,20,0,0
EMP-0004,2025-03-01,Sales,21,1,3
EMP-0004,2025-04-01,Sales,22,0,0
EMP-0004,2025-05-01,Sales,22,1,1
EMP-0004,2025-06-01,Sales,20,0,0
EMP-0004,2025-07-01,Sales,23,0,0
EMP-0004,2025-08-01,Sales,20,1,2
EMP-0004,2025-09-01,Sales,23,0,0
EMP-0004,2025-10-01,Sales,23,1,0
EMP-0004,2025-11-01,Sales,20,0,1
EMP-0004,2025-12-01,Sales,21,0,0
EMP-0005,2025-08-01,Sales,20,2,0
EMP-0005,2025-09-01,Sales,22,0,3
EMP-0005,2025-10-01,Sales,20,1,0
EMP-0006,2025-12-01,Human Resources,23,0,0
EMP-0007,2025-04-01,Finance,21,0,0
EMP-0007,2025-05-01,Finance,21,0,1
EMP-0007,2025-06-01,Finance,21,1,3
EMP-0007,2025-07-01,Finance,23,1,0
EMP-0007,2025-08-01,Finance,21,0,1
EMP-0007,2025-09-01,Finance,23,0,1
EMP-0007,2025-10-01,Finance,21,0,3
EMP-0007,2025-11-01,Finance,21,0,1
EMP-0007,2025-12-01,Finance,20,1,0
EMP-0008,2025-03-01,Sales,20,0,1
EMP-0008,2025-04-01,Sales,23,0,0
EMP-0008,2025-05-01,Sales,23,0,0
EMP-0008,2025-06-01,Sales,22,1,0
EMP-0008,2025-07-01,Sales,21,0,2
EMP-0008,2025-08-01,Sales,23,0,0
EMP-0008,2025-09-01,Sales,21,0,0
EMP-0008,2025-10-01,Sales,21,1,0
EMP-0008,2025-11-01,Sales,22,0,0
EMP-0008,2025-12-01,Sales,20,0,0
EMP-0009,2024-05-01,Sales,23,0,2
EMP-0009,2024-06-01,Sales,22,1,1
EMP-0009,2024-07-01,Sales,20,0,0
EMP-0009,2024-08-01,Sales,22,2,1
EMP-0009,2024-09-01,Sales,22,2,0
EMP-0009,2024-10-01,Sales,20,2,0
EMP-0009,2024-11-01,Sales,20,0,0
EMP-0009,2024-12-01,Sales,21,0,0
EMP-0009,2025-01-01,Sales,20,0,1
EMP-0009,2025-02-01,Sales,23,0,1
EMP-0009,2025-03-01,Sales,23,1,0
EMP-0009,2025-04-01,Sales,20,1,0
EMP-0009,2025-05-01,Sales,23,0,0
EMP-0009,2025-06-01,Sales,20,0,0
EMP-0009,2025-07-01,Sales,22,1,2
EMP-0009,2025-08-01,Sales,21,0,1
EMP-0009,2025-09-01,Sales,21,0,0
EMP-0009,2025-10-01,Sales,21,2,0
EMP-0009,2025-11-01,Sales,23,0,4
EMP-0009,2025-12-01,Sales,20,1,1
EMP-0010,2024-02-01,Marketing,22,0,1
EMP-0010,2024-03-01,Marketing,22,0,3
EMP-0010,2024-04-01,Marketing,21,0,0
EMP-0010,2024-05-01,Marketing,23,0,1
EMP-0010,2024-06-01,Marketing,21,0,1
EMP-0010,2024-07-01,Marketing,22,0,1
EMP-0010,2024-08-01,Marketing,20,0,1
EMP-0010,2024-09-01,Marketing,23,0,3
EMP-0010,2024-10-01,Marketing,20,0,0
EMP-0010,2024-11-01,Marketing,20,2,0
EMP-0010,2024-12-01,Marketing,22,1,2
EMP-0010,2025-01-01,Marketing,22,0,3
EMP-0010,2025-02-01,Marketing,20,2,1
EMP-0010,2025-03-01,Marketing,21,0,0
EMP-0010,2025-04-01,Marketing,23,1,0
EMP-0010,2025-05-01,Marketing,22,1,2
EMP-0010,2025-06-01,Marketing,20,0,0
EMP-0010,2025-07-01,Marketing,23,0,0
EMP-0010,2025-08-01,Marketing,21,0,2
EMP-0010,2025-09-01,Marketing,20,1,0
EMP-0010,2025-10-01,Marketing,23,1,2
EMP-0010,2025-11-01,Marketing,22,1,1
EMP-0010,2025-12-01,Marketing,20,0,2
EMP-0011,2025-12-01,Operations,21,1,2
EMP-0012,2024-12-01,Marketing,21,2,4
EMP-0012,2025-01-01,Marketing,21,0,1
EMP-0012,2025-02-01,Marketing,22,0,0
EMP-0012,2025-03-01,Marketing,20,0,1
EMP-0013,2025-04-01,Operations,23,3,2
EMP-0013,2025-05-01,Operations,21,0,3
EMP-0013,2025-06-01,Operations,20,0,3
EMP-0013,2025-07-01,Operations,21,0,0
EMP-0013,2025-08-01,Operations,21,2,0
EMP-0013,2025-09-01,Operations,23,0,0
EMP-0013,2025-10-01,Operations,21,0,0
EMP-0013,2025-11-01,Operations,22,1,1
EMP-0013,2025-12-01,Operations,22,1,0
EMP-0014,2025-02-01,Customer Service,22,1,2
EMP-0014,2025-03-01,Customer Service,22,0,1
EMP-0014,2025-04-01,Customer Service,21,1,0
EMP-0014,2025-05-01,Customer Service,20,1,2
EMP-0014,2025-06-01,Customer Service,21,0,1
EMP-0014,2025-07-01,Customer Service,23,0,0
EMP-0014,2025-08-01,Customer Service,22,1,0
EMP-0014,2025-09-01,Customer Service,22,0,3
EMP-0014,2025-10-01,Customer Service,22,0,0
EMP-0014,2025-11-01,Customer Service,20,1,0
EMP-0015,2024-11-01,Customer Service,20,2,0
EMP-0015,2024-12-01,Customer Service,21,5,4
EMP-0015,2025-01-01,Customer Service,22,1,2
EMP-0015,2025-02-01,Customer Service,21,4,2
EMP-0015,2025-03-01,Customer Service,20,1,3
EMP-0015,2025-04-01,Customer Service,23,1,0
EMP-0015,2025-05-01,Customer Service,21,2,0
EMP-0015,2025-06-01,Customer Service,22,2,0
EMP-0015,2025-07-01,Customer Service,21,1,1
EMP-0015,2025-08-01,Customer Service,22,2,0
EMP-0015,2025-09-01,Customer Service,22,2,1
EMP-0015,2025-10-01,Customer Service,20,1,0
EMP-0016,2024-09-01,IT & Data,22,0,0
EMP-0016,2024-10-01,IT & Data,21,2,0
EMP-0016,2024-11-01,IT & Data,23,0,0
EMP-0016,2024-12-01,IT & Data,20,1,2
EMP-0016,2025-01-01,IT & Data,22,1,0
EMP-0016,2025-02-01,IT & Data,20,0,2
EMP-0016,2025-03-01,IT & Data,22,0,2
EMP-0016,2025-04-01,IT & Data,21,1,1
EMP-0016,2025-05-01,IT & Data,20,0,1
EMP-0016,2025-06-01,IT & Data,21,1,1
EMP-0016,2025-07-01,IT & Data,23,0,2
EMP-0017,2025-01-01,Customer Service,22,1,0
EMP-0017,2025-02-01,Customer Service,23,0,1
EMP-0017,2025-03-01,Customer Service,23,3,0
EMP-0017,2025-04-01,Customer Service,20,0,1
EMP-0017,2025-05-01,Customer Service,21,0,1
EMP-0017,2025-06-01,Customer Service,20,1,2
EMP-0017,2025-07-01,Customer Service,21,0,2
EMP-0017,2025-08-01,Customer Service,22,0,0
EMP-0017,2025-09-01,Customer Service,20,0,3
EMP-0018,2024-05-01,Sales,23,0,0
EMP-0018,2024-06-01,Sales,23,0,3
EMP-0018,2024-07-01,Sales,20,0,0
EMP-0018,2024-08-01,Sales,23,0,1
EMP-0018,2024-09-01,Sales,22,1,2
EMP-0018,2024-10-01,Sales,23,0,1
EMP-0018,2024-11-01,Sales,21,0,2
EMP-0018,2024-12-01,Sales,20,0,1
EMP-0018,2025-01-01,Sales,23,0,2
EMP-0018,2025-02-01,Sales,21,1,2
EMP-0018,2025-03-01,Sales,22,0,1
EMP-0018,2025-04-01,Sales,21,0,1
EMP-0018,2025-05-01,Sales,20,1,2
EMP-0018,2025-06-01,Sales,22,0,0
