month,department,requisitions,applicants,interviews,offers,hires
2024-01-01,Sales,6,150,26,11,9
2024-01-01,Operations,7,137,27,12,10
2024-01-01,Customer Service,7,159,20,9,6
2024-01-01,Finance,6,153,24,11,8
2024-01-01,Human Resources,7,189,26,9,6
2024-01-01,IT & Data,4,85,16,7,6
2024-01-01,Marketing,4,132,21,8,6
2024-02-01,Sales,6,168,24,10,8
2024-02-01,Operations,7,200,28,14,11
2024-02-01,Customer Service,4,92,13,5,4
2024-02-01,Finance,6,187,33,12,9
2024-02-01,Human Resources,3,98,18,7,5
2024-02-01,IT & Data,3,57,9,4,3
2024-02-01,Marketing,6,111,17,8,6
2024-03-01,Sales,8,204,29,15,10
2024-03-01,Operations,7,139,26,10,7
2024-03-01,Customer Service,8,166,23,11,8
2024-03-01,Finance,1,31,4,1,0
2024-03-01,Human Resources,4,122,16,6,4
2024-03-01,IT & Data,4,125,17,8,5
2024-03-01,Marketing,5,158,21,8,6
2024-04-01,Sales,6,132,21,7,5
2024-04-01,Operations,6,121,15,6,5
2024-04-01,Customer Service,6,124,22,7,5
2024-04-01,Finance,3,89,10,4,3
2024-04-01,Human Resources,2,59,7,3,2
2024-04-01,IT & Data,3,70,10,4,2
2024-04-01,Marketing,3,94,18,6,4
2024-05-01,Sales,6,111,16,7,5
2024-05-01,Operations,4,96,11,5,3
2024-05-01,Customer Service,9,242,29,10,6
2024-05-01,Finance,2,50,8,3,2
2024-05-01,Human Resources,3,101,19,8,6
2024-05-01,IT & Data,4,80,13,6,4
2024-05-01,Marketing,1,23,3,1,0
2024-06-01,Sales,1,24,4,1,0
2024-06-01,Operations,5,134,23,11,9
2024-06-01,Customer Service,6,184,35,13,11
2024-06-01,Finance,4,85,10,4,2
2024-06-01,Human Resources,1,27,3,1,0
2024-06-01,IT & Data,5,99,15,6,5
2024-06-01,Marketing,3,89,15,5,4
2024-07-01,Sales,6,155,24,11,9
2024-07-01,Operations,10,321,52,22,18
2024-07-01,Customer Service,3,54,6,2,1
2024-07-01,Finance,5,116,18,6,4
2024-07-01,Human Resources,4,125,22,8,5
2024-07-01,IT & Data,5,107,18,8,5
2024-07-01,Marketing,2,38,4,1,0
2024-08-01,Sales,6,199,36,18,15
2024-08-01,Operations,7,160,27,13,10
2024-08-01,Customer Service,6,172,30,11,7
2024-08-01,Finance,7,199,38,17,14
2024-08-01,Human Resources,5,136,24,11,7
2024-08-01,IT & Data,4,106,13,5,3
2024-08-01,Marketing,3,69,12,4,3
2024-09-01,Sales,5,100,14,6,4
2024-09-01,Operations,10,257,50,23,16
2024-09-01,Customer Service,9,261,36,15,12
2024-09-01,Finance,4,91,14,6,4
2024-09-01,Human Resources,3,74,14,6,5
2024-09-01,IT & Data,2,54,9,4,3
2024-09-01,Marketing,3,91,15,6,4
2024-10-01,Sales,5,106,13,4,3
2024-10-01,Operations,8,247,31,16,13
2024-10-01,Customer Service,4,105,18,9,7
2024-10-01,Finance,4,102,20,7,6
2024-10-01,Human Resources,4,104,20,7,5
2024-10-01,IT & Data,1,33,5,2,1
2024-10-01,Marketing,5,101,15,6,4
2024-11-01,Sales,7,229,31,13,11
2024-11-01,Operations,5,166,29,13,9
2024-11-01,Customer Service,7,225,40,15,10
2024-11-01,Finance,5,123,17,6,4
2024-11-01,Human Resources,2,54,6,3,2
2024-11-01,IT & Data,6,129,17,7,5
2024-11-01,Marketing,5,144,28,11,8
2024-12-01,Sales,6,123,18,9,7
2024-12-01,Operations,6,185,22,9,7
2024-12-01,Customer Service,4,125,15,6,4
2024-12-01,Finance,1,19,3,1,0
2024-12-01,Human Resources,6,190,28,13,8
2024-12-01,IT & Data,7,235,45,16,11
2024-12-01,Marketing,2,51,8,3,2
2025-01-01,Sales,10,230,43,17,13
2025-01-01,Operations,7,209,28,14,11
2025-01-01,Customer Service,8,252,46,22,16
2025-01-01,Finance,5,93,13,4,2
2025-01-01,Human Resources,4,109,13,5,3
2025-01-01,IT & Data,2,51,7,3,2
2025-01-01,Marketing,5,115,15,5,4
2025-02-01,Sales,8,246,29,14,10
2025-02-01,Operations,9,240,41,19,13
2025-02-01,Customer Service,8,265,41,17,14
2025-02-01,Finance,6,165,32,15,11
2025-02-01,Human Resources,1,22,3,1,0
2025-02-01,IT & Data,8,157,25,11,8
2025-02-01,Marketing,5,153,21,8,6
2025-03-01,Sales,6,168,33,15,11
2025-03-01,Operations,10,218,34,16,13
2025-03-01,Customer Service,9,218,38,17,12
2025-03-01,Finance,3,57,8,2,1
2025-03-01,Human Resources,4,115,21,9,6
2025-03-01,IT & Data,6,116,16,7,5
2025-03-01,Marketing,2,40,6,2,1
2025-04-01,Sales,10,255,32,14,11
2025-04-01,Operations,7,147,25,11,8
2025-04-01,Customer Service,8,200,24,8,6
2025-04-01,Finance,5,152,25,8,6
2025-04-01,Human Resources,4,78,14,7,5
2025-04-01,IT & Data,5,131,19,7,5
2025-04-01,Marketing,6,180,33,11,8
2025-05-01,Sales,7,187,23,11,8
2025-05-01,Operations,9,296,44,15,11
2025-05-01,Customer Service,12,284,55,23,17
2025-05-01,Finance,6,177,26,9,6
2025-05-01,Human Resources,8,257,37,16,12
2025-05-01,IT & Data,4,109,16,6,4
2025-05-01,Marketing,5,155,27,13,9
2025-06-01,Sales,7,190,32,13,9
2025-06-01,Operations,9,194,34,15,10
2025-06-01,Customer Service,10,301,42,15,10
2025-06-01,Finance,2,61,8,3,2
2025-06-01,Human Resources,3,74,9,3,2
2025-06-01,IT & Data,3,57,10,5,4
2025-06-01,Marketing,2,57,8,3,2
2025-07-01,Sales,11,238,38,18,12
2025-07-01,Operations,10,335,66,28,19
2025-07-01,Customer Service,8,207,27,11,8
2025-07-01,Finance,6,188,29,11,7
2025-07-01,Human Resources,8,178,34,14,9
2025-07-01,IT & Data,5,132,22,9,6
2025-07-01,Marketing,4,84,10,3,2
